Question,Label,Tagged
How long does it take for frying hot mulled wine?,TIME,How long does it take for <method>frying</method> <name>hot</name> <name>mulled</name> <name>wine</name> ?
Do you know how to boil Seasoned Pumpkin Seeds dish?,DIR,Do you know how to <method>boil</method> <name>Seasoned</name> <name>Pumpkin</name> <name>Seeds</name> dish ?
How many packs of sugar need to steam chicken taco casserole?,QTY,How many packs of <ing>sugar</ing> need to <method>steam</method> <name>chicken</name> <name>taco</name> <name>casserole</name> ?
what is in mexican potato nachos?,ING,what is in <name>mexican</name> <name>potato</name> <name>nachos</name> ?
How much time for boiling potato onion loaf?,TIME,How much time for <method>boiling</method> <name>potato</name> <name>onion</name> <name>loaf</name> ?
Which utensils should you use when making dish Greek Pizza?,EQUIP,Which utensils should you use when making dish <name>Greek</name> <name>Pizza</name> ?
What is Cran-Raspberry Jellies?,OBJ,What is <name>Cran-Raspberry</name> <name>Jellies</name> ?
How to steam Navy Bean Pie?,DIR,How to <method>steam</method> <name>Navy</name> <name>Bean</name> <name>Pie</name> ?
Best way for cooking bombay breakfast potatoes?,DIR,Best way for cooking <name>bombay</name> <name>breakfast</name> <name>potatoes</name> ?
Please give me nutrition value of allstar hamburger sauce?,NUT,Please give me nutrition value of <name>allstar</name> <name>hamburger</name> <name>sauce</name> ?
Let me know something about Vegan Lettuce Wraps?,OBJ,Let me know something about <name>Vegan</name> <name>Lettuce</name> <name>Wraps</name> ?
What should I know about Crab Dip dish?,OBJ,What should I know about <name>Crab</name> <name>Dip</name> dish ?
baking time of cold avocado soup dish?,TIME,<method>baking</method> time of <name>cold</name> <name>avocado</name> <name>soup</name> dish ?
Blue's Lumpia recipe?,ALL,<name>Blue</name> <name>Lumpia</name> recipe ?
what are the different ways to bake butter and sugar?,NAME,what are the different ways to <method>bake</method> <ing>butter</ing> and <ing>sugar</ing> ?
what is molasses crumb cake?,OBJ,
what are the different ways to fry hot dog?,NAME,what are the different ways to <method>fry</method> <ing>hot</ing> <ing>dog</ing> ?
how is the easy white chili maked?,DIR,how is the <name>easy</name> <name>white</name> <name>chili</name> maked ?
Bacon Feta Beans?,ALL,<name>Bacon</name> <name>Feta</name> <name>Beans</name> ?
Let me know something about beef birria dish?,OBJ,Let me know something about <name>beef</name> <name>birria</name> dish ?
what is the utensil used for simmering blackberry jalapeno jelly?,EQUIP,what is the utensil used for <method>simmering</method> <name>blackberry</name> <name>jalapeno</name> <name>jelly</name> ?
what is Reuben Egg Rolls?,OBJ,
Do you know good apple salad recipes to bake?,NAME,Do you know good <type>apple</type> <type>salad</type> recipes to <method>bake</method> ?
What's in Valentine's Pie?,ING,What 's in <name>Valentine</name> <name>'s</name> <name>Pie</name> ?
How long can Apple Walnut Brownies dish be maked?,TIME,How long can <name>Apple</name> <name>Walnut</name> <name>Brownies</name> dish be maked ?
How long for roasting bacon brownies?,TIME,How long for <method>roasting</method> <name>bacon</name> <name>brownies</name> ?
Best Whiskey Drinks recipes for roasting lemon?,NAME,Best <type>Whiskey</type> <type>Drinks</type> recipes for <method>roasting</method> <ing>lemon</ing> ?
what is in spinach arancini?,ING,
How many packs of salt need to boil fry sauce dish?,QTY,How many packs of <ing>salt</ing> need to <method>boil</method> <name>fry</name> <name>sauce</name> dish ?
Tell me something about Ropa Vieja?,OBJ,Tell me something about <name>Ropa</name> <name>Vieja</name> ?
What are the required utensils for grilling Poulet Parisienne?,EQUIP,What are the required utensils for <method>grilling</method> <name>Poulet</name> <name>Parisienne</name> ?
"What can I mix with olive oil, wine to bake berry good smoothie?",ING,"What can I mix with <ing>olive</ing> <ing>oil</ing> , <ing>wine</ing> to <method>bake</method> <name>berry</name> <name>good</name> <name>smoothie</name> ?"
Banana Pancake recipes using turkey?,NAME,<type>Banana</type> <type>Pancake</type> recipes using <ing>turkey</ing> ?
Whole Wheat Wraps?,ALL,
Quantity of green onion to prepare Spicy Peach Chicken?,QTY,Quantity of <ing>green</ing> <ing>onion</ing> to prepare <name>Spicy</name> <name>Peach</name> <name>Chicken</name> ?
How do I roast chai limeade from zucchini?,DIR,How do I <method>roast</method> <name>chai</name> <name>limeade</name> from <ing>zucchini</ing> ?
what kinds of Hamburger dishes can I simmer with broccoli?,NAME,what kinds of <type>Hamburger</type> dishes can I <method>simmer</method> with <ing>broccoli</ing> ?
How many turkeys to grill dish apple pie moonshine?,QTY,How many <ing>turkeys</ing> to <method>grill</method> dish <name>apple</name> <name>pie</name> <name>moonshine</name> ?
How long does it take for stewing fry sauce?,TIME,How long does it take for <method>stewing</method> <name>fry</name> <name>sauce</name> ?
All information of thin wandies dish,ALL,All information of <name>thin</name> <name>wandies</name> dish
What are the necessary utensils to bake the cranberry orange pancakes?,EQUIP,What are the necessary utensils to <method>bake</method> the <name>cranberry</name> <name>orange</name> <name>pancakes</name> ?
Best Instant Mocha Shake recipe?,ALL,
what cooking utensils are used in the Mexican Brownies?,EQUIP,what cooking utensils are used in the <name>Mexican</name> <name>Brownies</name> ?
What’s the best way to grill Red Velvet Cake?,DIR,What ’ s the best way to <method>grill</method> <name>Red</name> <name>Velvet</name> <name>Cake</name> ?
Some colombian recipes?,NAME,Some <type>colombian</type> recipes ?
what cooking utensils are used in the exotic fruit drink?,EQUIP,what cooking utensils are used in the <name>exotic</name> <name>fruit</name> <name>drink</name> ?
Which ingredients in Ginger Fruit Smoothie?,ING,Which ingredients in <name>Ginger</name> <name>Fruit</name> <name>Smoothie</name> ?
What’s the best way to grill 4 peanuts and one watermelon?,DIR,What ’ s the best way to <method>grill</method> 4 <ing>peanuts</ing> and one <ing>watermelon</ing> ?
what is in Savory Vegetarian Quinoa?,ING,
what is peppermint brittle?,OBJ,
Do you know how long it takes Caramel Chocolate Corn to make?,TIME,Do you know how long it takes <name>Caramel</name> <name>Chocolate</name> <name>Corn</name> to make ?
"How much wine, mustard and water do I use for brigadeiro dessert?",QTY,"How much <ing>wine</ing> , <ing>mustard</ing> and <ing>water</ing> do I use for <name>brigadeiro</name> <name>dessert</name> ?"
what is in Third Degree Cocktail?,ING,
what are the different ways to simmer butter?,NAME,what are the different ways to <method>simmer</method> <ing>butter</ing> ?
How many pears to stew hot greek salad dish?,QTY,How many <ing>pears</ing> to <method>stew</method> <name>hot</name> <name>greek</name> <name>salad</name> dish ?
Quantity of pea to roast Eggplant Chips?,QTY,Quantity of <ing>pea</ing> to <method>roast</method> <name>Eggplant</name> <name>Chips</name> ?
Best way for frying mango?,DIR,Best way for <method>frying</method> <ing>mango</ing> ?
What is summertime cucumber salad made of?,ING,What is <name>summertime</name> <name>cucumber</name> <name>salad</name> made of ?
What are essential hoagie bake dish ingredients?,ING,What are essential <name>hoagie</name> <name>bake</name> dish ingredients ?
I want ingredient advice for spanish rice dish?,ING,I want ingredient advice for <name>spanish</name> <name>rice</name> dish ?
Any good recipes for baking green onion?,NAME,Any good recipes for <method>baking</method> <ing>green</ing> <ing>onion</ing> ?
Guide me to simmer Filipino Pork Sinigang and cheesecake brownies.,DIR,Guide me to <method>simmer</method> <name>Filipino</name> <name>Pork</name> <name>Sinigang</name> and <name>cheesecake</name> <name>brownies</name> .
What are the devices for baking tarako spaghetti?,EQUIP,What are the devices for <method>baking</method> <name>tarako</name> <name>spaghetti</name> ?
Which ingredients in dish Baked Salisbury Steak?,ING,Which ingredients in dish <name>Baked</name> <name>Salisbury</name> <name>Steak</name> ?
Please give me nutrition value of pizza crust i?,NUT,Please give me nutrition value of <name>pizza</name> <name>crust</name> <name>i</name> ?
What is honey duck dish made of?,ING,What is <name>honey</name> <name>duck</name> dish made of ?
what are  interesting Breakfast Pizza recipes to try ?,NAME,what are interesting <type>Breakfast</type> <type>Pizza</type> recipes to try ?
Which kitchen devices do you need to boil Haselnussmakronen?,EQUIP,Which kitchen devices do you need to <method>boil</method> <name>Haselnussmakronen</name> ?
"How should I prepare leeks, mozzarella cheeses?",DIR,"How should I prepare <ing>leeks</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> ?"
What the heck is hummus casserole?,OBJ,What the heck is <name>hummus</name> <name>casserole</name> ?
How many tablespoons of salt for steaming kielbasa onion soup?,QTY,How many tablespoons of <ing>salt</ing> for <method>steaming</method> <name>kielbasa</name> <name>onion</name> <name>soup</name> ?
Recipe for the best Cran-Dandy Cooler?,DIR,Recipe for the best <name>Cran-Dandy</name> <name>Cooler</name> ?
what cooking utensils are used in the amazing all-purpose marinade?,EQUIP,what cooking utensils are used in the amazing <name>all-purpose</name> <name>marinade</name> ?
What can I mix with powder for stewing Spring Strawberry Soup?,ING,What can I mix with <ing>powder</ing> for <method>stewing</method> <name>Spring</name> <name>Strawberry</name> <name>Soup</name> ?
All about Meat Candy,ALL,All about <name>Meat</name> <name>Candy</name>
Do you know good Kale Soup recipes to stew?,NAME,Do you know good <type>Kale</type> <type>Soup</type> recipes to <method>stew</method> ?
Utensils to grill Spring Strawberry Soup?,EQUIP,Utensils to <method>grill</method> <name>Spring</name> <name>Strawberry</name> <name>Soup</name> ?
"Which recipes to make powder, butter and salt?",NAME,"Which recipes to make <ing>powder</ing> , <ing>butter</ing> and <ing>salt</ing> ?"
What’s the best way to fry Moroccan Lentil Stew?,DIR,What ’ s the best way to <method>fry</method> <name>Moroccan</name> <name>Lentil</name> <name>Stew</name> ?
What can you tell me about dishpeach pie?,OBJ,What can you tell me about <name>dishpeach</name> <name>pie</name> ?
How do I cook mock strawberry jam perfectly?,DIR,How do I cook <name>mock</name> <name>strawberry</name> <name>jam</name> perfectly ?
Best way for preparing pepper?,DIR,Best way for preparing <ing>pepper</ing> ?
"I have peanuts and broccoli, how should I prepare it?",DIR,"I have <ing>peanuts</ing> and <ing>broccoli</ing> , how should I prepare it ?"
Some pastry recipes?,NAME,Some <type>pastry</type> recipes ?
how is the Jalapeno Souffle boiled?,DIR,how is the <name>Jalapeno</name> <name>Souffle</name> <method>boiled</method> ?
Help to simmer Steamed Black Bread - What should I do?,DIR,Help to <method>simmer</method> <name>Steamed</name> <name>Black</name> <name>Bread</name> - What should I do ?
How do I bake mushroom crespelle from bell pepper?,DIR,How do I <method>bake</method> <name>mushroom</name> <name>crespelle</name> from <ing>bell</ing> <ing>pepper</ing> ?
Give me the recipe of baking the Amish Sugar Cakes please!?,DIR,Give me the recipe of <method>baking</method> the <name>Amish</name> <name>Sugar</name> <name>Cakes</name> please ! ?
how much mustard for roasting hearty chicken soup?,QTY,how much <ing>mustard</ing> for <method>roasting</method> <name>hearty</name> <name>chicken</name> <name>soup</name> ?
How much butter is required for Zucchini Bread III?,QTY,How much <ing>butter</ing> is required for <name>Zucchini</name> <name>Bread</name> <name>III</name> ?
What is Golden Potato Soup?,OBJ,What is <name>Golden</name> <name>Potato</name> <name>Soup</name> ?
how much white rice should be used in grilling peanut blossoms ii??,QTY,how much <ing>white</ing> <ing>rice</ing> should be used in <method>grilling</method> <name>peanut</name> <name>blossoms</name> <name>ii</name> ? ?
Help to prepare Seasoned Pumpkin Seeds - What should I do?,DIR,Help to prepare <name>Seasoned</name> <name>Pumpkin</name> <name>Seeds</name> - What should I do ?
how much water for preparing southern potato salad?,QTY,how much <ing>water</ing> for preparing <name>southern</name> <name>potato</name> <name>salad</name> ?
What are the main ingredients of the Tamale Rice?,ING,What are the main ingredients of the <name>Tamale</name> <name>Rice</name> ?
Some shrimp recipes?,NAME,Some <type>shrimp</type> recipes ?
What are some good dishes that I can grill with peanut??,NAME,What are some good dishes that I can <method>grill</method> with <ing>peanut</ing> ? ?
What are the basic ingredients in simmering bison stew?,ING,What are the basic ingredients in <method>simmering</method> <name>bison</name> <name>stew</name> ?
All information of Eureka Potato Salad dish,ALL,
Which utensils should you use when making amazing all-purpose marinade?,EQUIP,Which utensils should you use when making <name>amazing</name> <name>all-purpose</name> <name>marinade</name> ?
All information of chocolate coffee oatmeal dish,ALL,
All about Bunny Cupcakes,ALL,
What’s the best way to simmer roasted bok choy dish?,DIR,What ’ s the best way to <method>simmer</method> <name>roasted</name> <name>bok</name> <name>choy</name> dish ?
How do I make paleo-friendly applesauce cookie from chicken breast?,DIR,How do I make <name>paleo-friendly</name> <name>applesauce</name> <name>cookie</name> from <ing>chicken</ing> <ing>breast</ing> ?
What the heck is graduation pasta salad?,OBJ,What the heck is <name>graduation</name> <name>pasta</name> <name>salad</name> ?
ingredients for prickly pear margarita?,ING,ingredients for <name>prickly</name> <name>pear</name> <name>margarita</name> ?
Best way for frying Yummy Pink Punch?,DIR,Best way for <method>frying</method> <name>Yummy</name> <name>Pink</name> <name>Punch</name> ?
What are essential Brandy Glazed Carrots ingredients?,ING,What are essential <name>Brandy</name> <name>Glazed</name> <name>Carrots</name> ingredients ?
"I have yam, how should I roast it?",DIR,"I have <ing>yam</ing> , how should I <method>roast</method> it ?"
Traditional Welsh Rarebit recipe?,ALL,
"Best way to grill butters, pears?",DIR,"Best way to <method>grill</method> <ing>butters</ing> , <ing>pears</ing> ?"
What are the required utensils for cooking almond joy® cake?,EQUIP,What are the required utensils for cooking <name>almond</name> <name>joy®</name> <name>cake</name> ?
What are some ingredients I can use for the turkey delight?,ING,What are some ingredients I can use for the <name>turkey</name> <name>delight</name> ?
What the heck is Chickeny Chickeny Rice?,OBJ,What the heck is <name>Chickeny</name> <name>Chickeny</name> <name>Rice</name> ?
How much butter will I need to steam bourbon fig compote?,QTY,How much <ing>butter</ing> will I need to <method>steam</method> <name>bourbon</name> <name>fig</name> <name>compote</name> ?
what is Collards?,OBJ,
All about indonesian curried cabbage,ALL,All about <name>indonesian</name> <name>curried</name> <name>cabbage</name>
Utensils to prepare the breakfast omwich dish?,EQUIP,Utensils to prepare the <name>breakfast</name> <name>omwich</name> dish ?
The amount of pea to make overnight buckwheat oats is how much?,QTY,The amount of <ing>pea</ing> to make <name>overnight</name> <name>buckwheat</name> <name>oats</name> is how much ?
All about lemonade cleanse,ALL,
Please give me nutrition value of dish dump cake iii?,NUT,Please give me nutrition value of dish <name>dump</name> <name>cake</name> <name>iii</name> ?
"I have medium carrot, how should I steam it?",DIR,"I have <ing>medium</ing> <ing>carrot</ing> , how should I <method>steam</method> it ?"
Description about Hamburger Cheese Bake,OBJ,Description about <name>Hamburger</name> <name>Cheese</name> Bake
Bacon recipes using hot dog?,NAME,<type>Bacon</type> recipes using <ing>hot</ing> <ing>dog</ing> ?
Any good recipes for preparing egg?,NAME,Any good recipes for preparing <ing>egg</ing> ?
"Which recipes to bake medium carrot, mozzarella cheeses and leeks?",NAME,"Which recipes to <method>bake</method> <ing>medium</ing> <ing>carrot</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> and <ing>leeks</ing> ?"
What can I use to make Apple Oat-Quinoa Granola?,ING,What can I use to make <name>Apple</name> <name>Oat-Quinoa</name> <name>Granola</name> ?
How long does it take to bake Raisin Bread II?,TIME,How long does it take to <method>bake</method> <name>Raisin</name> <name>Bread</name> <name>II</name> ?
Best way for simmering green onion?,DIR,Best way for <method>simmering</method> <ing>green</ing> <ing>onion</ing> ?
brazilian recipes?,NAME,<type>brazilian</type> recipes ?
Restaurant-Style Potato Skins recipe?,ALL,<name>Restaurant-Style</name> <name>Potato</name> <name>Skins</name> recipe ?
List of Equip. Needed for steaming the original champagne cocktail?,EQUIP,List of Equip . Needed for <method>steaming</method> the <name>original</name> <name>champagne</name> <name>cocktail</name> ?
All information of Limoncello II dish,ALL,
how is the million-dollar spaghetti grilled?,DIR,how is the <name>million-dollar</name> <name>spaghetti</name> <method>grilled</method> ?
"How many butters, pears do I need for spring biscotti?",QTY,"How many <ing>butters</ing> , <ing>pears</ing> do I need for <name>spring</name> <name>biscotti</name> ?"
Guide me to steam graduation pasta salad.,DIR,Guide me to <method>steam</method> <name>graduation</name> <name>pasta</name> <name>salad</name> .
Which utensils is required for dish berry patch smoothie?,EQUIP,Which utensils is required for dish <name>berry</name> <name>patch</name> <name>smoothie</name> ?
What is garden penne made of?,ING,What is <name>garden</name> <name>penne</name> made of ?
what is Lemon Meltaways?,OBJ,
"I have shallot, how should I prepare it?",DIR,"I have <ing>shallot</ing> , how should I prepare it ?"
Best Stuffed Mushroom recipes for stewing turkey?,NAME,Best <type>Stuffed</type> <type>Mushroom</type> recipes for <method>stewing</method> <ing>turkey</ing> ?
What are the nutrients present in minty cucumber raita?,NUT,What are the nutrients present in <name>minty</name> <name>cucumber</name> <name>raita</name> ?
All about Pancetta Tarragon Asparagus,ALL,
All about Tortellini Salad Italiana,ALL,All about <name>Tortellini</name> <name>Salad</name> <name>Italiana</name>
what is the utensil used for cooking stuffed baked peaches?,EQUIP,what is the utensil used for cooking <name>stuffed</name> <name>baked</name> <name>peaches</name> ?
Equipment list essential for cooking the chelsea buns?,EQUIP,Equipment list essential for cooking the <name>chelsea</name> <name>buns</name> ?
I have 2 peppers and 1 broccoli. Can you suggest what recipe I use to use them all?,NAME,I have 2 <ing>peppers</ing> and 1 <ing>broccoli</ing> . Can you suggest what recipe I use to use them all ?
"I have small zucchini, how should I bake it?",DIR,"I have <ing>small</ing> <ing>zucchini</ing> , how should I <method>bake</method> it ?"
The amount of zucchini to cook Pumpkin Oat Bread is how much?,QTY,The amount of <ing>zucchini</ing> to cook <name>Pumpkin</name> <name>Oat</name> <name>Bread</name> is how much ?
Nutrition info of dish Banana Flips?,NUT,Nutrition info of dish <name>Banana</name> <name>Flips</name> ?
How much sugar is required for Caribbean Slaw?,QTY,How much <ing>sugar</ing> is required for <name>Caribbean</name> <name>Slaw</name> ?
What are the basic ingredients in baking penne pasta skillet?,ING,What are the basic ingredients in <method>baking</method> <name>penne</name> <name>pasta</name> <name>skillet</name> ?
Quantity of peanuts and broccoli to bake Authentic Enchiladas Verdes?,QTY,Quantity of <ing>peanuts</ing> and <ing>broccoli</ing> to <method>bake</method> <name>Authentic</name> <name>Enchiladas</name> <name>Verdes</name> ?
How much water will I need to boil Egg Kulambu?,QTY,How much <ing>water</ing> will I need to <method>boil</method> <name>Egg</name> <name>Kulambu</name> ?
how much butter should be used in making Chimichurri Steak Sauce??,QTY,how much <ing>butter</ing> should be used in making <name>Chimichurri</name> <name>Steak</name> <name>Sauce</name> ? ?
Description about coconut shrimp ceviche dish,OBJ,Description about <name>coconut</name> <name>shrimp</name> <name>ceviche</name> dish
what is in Reuben Egg Rolls?,ING,
How long can shrimp stirfry be fried?,TIME,How long can <name>shrimp</name> <name>stirfry</name> be <method>fried</method> ?
What should I cook for dessert?,NAME,What should I cook for <type>dessert</type> ?
I need 10 different recipes of vegetarian?,NAME,I need 10 different recipes of <type>vegetarian</type> ?
How much powder will I need to stew Newfoundland-Style Pea Soup?,QTY,How much <ing>powder</ing> will I need to <method>stew</method> <name>Newfoundland-Style</name> <name>Pea</name> <name>Soup</name> ?
All information of vegetable filo pie dish,ALL,
Best colombian recipes for baking broccoli?,NAME,Best <type>colombian</type> recipes for <method>baking</method> <ing>broccoli</ing> ?
Cheesy Pizza Dough - the best way to steam it?,DIR,<name>Cheesy</name> <name>Pizza</name> <name>Dough</name> - the best way to <method>steam</method> it ?
What are ingredients for the tradicional sunrise?,ING,What are ingredients for the <name>tradicional</name> <name>sunrise</name> ?
What are the devices for cooking red velvet-center cheesecake?,EQUIP,What are the devices for cooking <name>red</name> <name>velvet-center</name> <name>cheesecake</name> ?
What can I use to boil chicken kisses dish?,ING,What can I use to <method>boil</method> <name>chicken</name> <name>kisses</name> dish ?
Help to bake Bananas Foster II dish - What should I do?,DIR,Help to <method>bake</method> <name>Bananas</name> <name>Foster</name> <name>II</name> dish - What should I do ?
decorator frosting i - the best way to grill it?,DIR,<name>decorator</name> <name>frosting</name> <name>i</name> - the best way to <method>grill</method> it ?
ingredients for Rempel Family Meatloaf?,ING,ingredients for <name>Rempel</name> <name>Family</name> <name>Meatloaf</name> ?
How do I make cheesecake brownies?,DIR,How do I make <name>cheesecake</name> <name>brownies</name> ?
what are the different ways to cook leek?,NAME,what are the different ways to cook <ing>leek</ing> ?
Can you give me a recipe for snickerdoodle cheesecake dish with chicken breast?,DIR,Can you give me a recipe for <name>snickerdoodle</name> <name>cheesecake</name> dish with <ing>chicken</ing> <ing>breast</ing> ?
Can you give me a recipe for Spinach Mozzarella Meatloaf with butter and two mango?,DIR,Can you give me a recipe for <name>Spinach</name> <name>Mozzarella</name> <name>Meatloaf</name> with <ing>butter</ing> and two <ing>mango</ing> ?
What is the best way for simmering mango?,DIR,What is the best way for <method>simmering</method> <ing>mango</ing> ?
All about Pumpkin Mochi,ALL,All about <name>Pumpkin</name> <name>Mochi</name>
slow cooker cassoulet?,ALL,<name>slow</name> <name>cooker</name> <name>cassoulet</name> ?
fresh applesauce - the best way to make it?,DIR,<name>fresh</name> <name>applesauce</name> - the best way to make it ?
What are the main ingredients of the double chocolate pancakes?,ING,What are the main ingredients of the <name>double</name> <name>chocolate</name> <name>pancakes</name> ?
How many corns to make potato onion loaf?,QTY,How many <ing>corns</ing> to make <name>potato</name> <name>onion</name> <name>loaf</name> ?
How long for baking Zesty Barbeque Marinade?,TIME,How long for <method>baking</method> <name>Zesty</name> <name>Barbeque</name> <name>Marinade</name> ?
What are the necessary utensils to roast the man dip?,EQUIP,What are the necessary utensils to <method>roast</method> the <name>man</name> <name>dip</name> ?
peanut butter quesadillas recipe?,ALL,<name>peanut</name> <name>butter</name> <name>quesadillas</name> recipe ?
How to prepare Breaded Pan-Fried Salmon dish?,DIR,How to prepare <name>Breaded</name> <name>Pan-Fried</name> <name>Salmon</name> dish ?
How should I grill pepper?,DIR,How should I <method>grill</method> <ing>pepper</ing> ?
What are the nutrients present in Scotch Broth II?,NUT,What are the nutrients present in <name>Scotch</name> <name>Broth</name> <name>II</name> ?
pastry recipes?,NAME,<type>pastry</type> recipes ?
What nutritional value do Key West Chicken have?,NUT,What nutritional value do <name>Key</name> <name>West</name> <name>Chicken</name> have ?
What are the necessary utensils to simmer the Australian Federation Biscuits?,EQUIP,What are the necessary utensils to <method>simmer</method> the <name>Australian</name> <name>Federation</name> <name>Biscuits</name> ?
what kinds of Kale Soup dishes can I fry with green onion?,NAME,what kinds of <type>Kale</type> <type>Soup</type> dishes can I <method>fry</method> with <ing>green</ing> <ing>onion</ing> ?
Description about Turkey Pot Pie dish,OBJ,Description about <name>Turkey</name> <name>Pot</name> <name>Pie</name> dish
What are some good dishes that I can prepare with shallot??,NAME,What are some good dishes that I can prepare with <ing>shallot</ing> ? ?
Best quick recipes for simmering cucumber?,NAME,Best <type>quick</type> recipes for <method>simmering</method> <ing>cucumber</ing> ?
What can you tell me about creamy crab chowder dish?,OBJ,What can you tell me about <name>creamy</name> <name>crab</name> <name>chowder</name> dish ?
What could I use on hawaiian sandwiches?,ING,What could I use on <name>hawaiian</name> <name>sandwiches</name> ?
what is the utensil used for boiling El Padrino?,EQUIP,what is the utensil used for <method>boiling</method> <name>El</name> <name>Padrino</name> ?
what kinds of Hot Chocolate dishes can I stew with mango?,NAME,what kinds of <type>Hot</type> <type>Chocolate</type> dishes can I <method>stew</method> with <ing>mango</ing> ?
Best way for baking Cuban Pork?,DIR,Best way for <method>baking</method> <name>Cuban</name> <name>Pork</name> ?
Healthy watermelons and leek recipes for dinner?,NAME,<type>Healthy</type> <ing>watermelons</ing> and <ing>leek</ing> recipes for <type>dinner</type> ?
Utensils for roasting banh mi?,EQUIP,Utensils for <method>roasting</method> <name>banh</name> <name>mi</name> ?
What are the devices for grilling easy haupia dish?,EQUIP,What are the devices for <method>grilling</method> <name>easy</name> <name>haupia</name> dish ?
Breaded Fried Cauliflower recipe?,ALL,<name>Breaded</name> <name>Fried</name> <name>Cauliflower</name> recipe ?
What should I know about creamy chocolate cupcakes?,OBJ,What should I know about <name>creamy</name> <name>chocolate</name> <name>cupcakes</name> ?
How much powder do I use for pluto pups dish?,QTY,How much <ing>powder</ing> do I use for <name>pluto</name> <name>pups</name> dish ?
Recipe for the best Garlic Fried Rice dish?,DIR,Recipe for the best <name>Garlic</name> <name>Fried</name> <name>Rice</name> dish?
Nutrition info of Quinoa Stuffed Peppers dish?,NUT,Nutrition info of <name>Quinoa</name> <name>Stuffed</name> <name>Peppers</name> dish ?
what is in curried cauliflower soup?,ING,
Utensils for steaming easy coconut macaroons?,EQUIP,Utensils for <method>steaming</method> <name>easy</name> <name>coconut</name> <name>macaroons</name> ?
How many packs of butter need to bake Cheesy Chicken Bundles?,QTY,How many packs of <ing>butter</ing> need to <method>bake</method> <name>Cheesy</name> <name>Chicken</name> <name>Bundles</name> ?
"I have broccoli, how should I boil it?",DIR,"I have <ing>broccoli</ing> , how should I <method>boil</method> it ?"
Easy hot dog recipes for holiday?,NAME,<type>Easy</type> <ing>hot</ing> <ing>dog</ing> recipes for <type>holiday</type> ?
How many cups of olive oil for simmering Java Chocolaty Cookies?,QTY,How many cups of <ing>olive</ing> <ing>oil</ing> for <method>simmering</method> <name>Java</name> <name>Chocolaty</name> <name>Cookies</name> ?
What are some ingredients I can use for the Fish Tacos Ultimo?,ING,What are some ingredients I can use for the <name>Fish</name> <name>Tacos</name> <name>Ultimo</name> ?
Which utensils should you use when making dish gluten-free buckwheat crepes?,EQUIP,Which utensils should you use when making dish <name>gluten-free</name> <name>buckwheat</name> <name>crepes</name> ?
"Any good recipes to grill sugar, milk?",NAME,"Any good recipes to <method>grill</method> <ing>sugar</ing> , <ing>milk</ing> ?"
what kinds of Banana Pancake dishes can I roast with leek?,NAME,what kinds of <type>Banana</type> <type>Pancake</type> dishes can I <method>roast</method> with <ing>leek</ing> ?
How many green onions to simmer coconut-lime sorbet dish?,QTY,How many <ing>green</ing> <ing>onions</ing> to <method>simmer</method> <name>coconut-lime</name> <name>sorbet</name> dish ?
Guide me to make Jalapeno Souffle.,DIR,Guide me to make <name>Jalapeno</name> <name>Souffle</name> .
What should I cook for holiday?,NAME,What should I cook for <type>holiday</type> ?
What are the required utensils for simmering Kimchi Corned Beef dish?,EQUIP,What are the required utensils for <method>simmering</method> <name>Kimchi</name> <name>Corned</name> <name>Beef</name> dish ?
Best blue angel recipe?,ALL,Best <name>blue</name> <name>angel</name> recipe ?
All information of Cocktail Meatballs IV dish,ALL,All information of <name>Cocktail</name> <name>Meatballs</name> <name>IV</name> dish
What is dish doodhi chana?,OBJ,What is dish <name>doodhi</name> <name>chana</name> ?
Which utensils should you use when making dish salad stuffed shells?,EQUIP,Which utensils should you use when making dish <name>salad</name> <name>stuffed</name> <name>shells</name> ?
Need some help to roast brigadeiro dessert?,DIR,Need some help to <method>roast</method> <name>brigadeiro</name> <name>dessert</name> ?
Can you give me a recipe for Bananas Foster II with small zucchini?,DIR,Can you give me a recipe for <name>Bananas</name> <name>Foster</name> <name>II</name> with <ing>small</ing> <ing>zucchini</ing> ?
All information of tortellini southwest dish,ALL,All information of <name>tortellini</name> <name>southwest</name> dish
What’s the best way to boil chicken kisses dish?,DIR,What ’ s the best way to <method>boil</method> <name>chicken</name> <name>kisses</name> dish ?
What are some good dishes that I can steam with yam??,NAME,What are some good dishes that I can <method>steam</method> with <ing>yam</ing> ? ?
"I have pea, how should I stew it?",DIR,"I have <ing>pea</ing> , how should I <method>stew</method> it ?"
Recipe for the best Creme Anglaise Sauce?,DIR,Recipe for the best <name>Creme</name> <name>Anglaise</name> <name>Sauce</name> ?
Which recipes for steaming avocado?,NAME,Which recipes for <method>steaming</method> <ing>avocado</ing> ?
Let me know something about Cottage Cheese dish?,OBJ,Let me know something about <name>Cottage</name> <name>Cheese</name> dish ?
Recipe for the best Butterscotch Fudge dish?,DIR,Recipe for the best <name>Butterscotch</name> <name>Fudge</name> dish?
What is the best way for making mozzarella cheese?,DIR,What is the best way for making <ing>mozzarella</ing> <ing>cheese</ing> ?
What is the nutritional value of zucchini cornbread casserole?,NUT,What is the nutritional value of <name>zucchini</name> <name>cornbread</name> <name>casserole</name> ?
All information of eggnog i dish,ALL,
